"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"Harmati Electric Standing Desk Adjustable Height - 47 x 24 Inch Sit Stand Computer Desk, Stand Up Desk Table for Home Office, Black Frame/Walnut Top","B08T96WPVL","harmati","$199.99",554,"110,794.46","24,338","$64.88",2,4.4,39,7,12,"Harmati-US","Home & Kitchen","Small Oversize","FBA","30.0x50.0x6.5",64.60,"5/6/2021"
"FLEXISPOT Height Adjustable Desk 55 x 28 inches with Memory Electric Sit Stand Up Computer Desk Home Office Gray Frame/Mahogany Top","B07H2TZH56","FLEXISPOT","$349.99",726,"254,092.74","30,635","$71.90",1,4.6,2058,9,40,"FlexiSpot","Home & Kitchen","Small Oversize","MFN","10.6x30.7x6.1",48.72,"9/3/2018"
"FEZIBO Height Adjustable Electric Standing Desk, 55 x 24 Inches Stand up Table, Sit Stand Home Office Desk with Splice Board, Black Frame/Rustic Brown Top","B08GFG5H64","FEZIBO","$269.99","2,431","656,345.69","6,985","$71.88",1,4.6,2685,9,182,"FEZIBO","Home & Kitchen","Small Oversize","MFN","14.5x57.5x8.0",69.22,"8/21/2020"
"Mind Reader Mobile Sitting, Standing Desk Rolling Reversible Home Office Laptop Workstation with Side Storage, Locking Wheels, Large, Black","B07KNDV77N","Mind Reader","$32.99",518,"17,088.82","11,099","$21.97",13,4.1,1387,9,29,"Amazon","Home & Kitchen","Small Oversize","AMZ","25.5x26.0x4.0",22.40,"5/8/2020"
"ComHoma Standing Desk Converter Adjustable Height 34 Inch Sit to Stand up Desk Riser for Home Office Ergonomic Tabletop Workstation with Keyboard Mouse Deck","B08KNXLNH4","COMHOMA","$125.99","1,282","161,519.18","9,930","$44.89",2,4.6,264,6,136,"Verona Sky","Office Products","Small Oversize","FBA","18.7x37.8x8.5",31.75,"11/17/2020"
"($) ROCKPOINT Axess Computer Desk with Keyboard Tray , White","B07CPQPXGS","ROCKPOINT","$142.99",710,"101,522.90","40,970","$63.63",3,4.5,3157,8,60,"Amazon","Home & Kitchen","Medium Oversize","AMZ","22.0x47.0x6.0",79.20,"8/22/2018"
"($) BilBil 55 x 24 Inches Electric Height Adjustable Standing Desk, Smart Home Office Stand Up Desk - Memory Settings - Solid Top - Double-Beam Construction - Anti-Collision Technology","B09BKWX6ZN","bilbil","$199.99",171,"34,198.29","169,115","$62.98",1,4.9,12,8,8,"BilBil","Home & Kitchen","Small Oversize","MFN","14.1x45.6x11.0",65.00,"7/31/2021"
"($) Vari Essential Electric Standing Desk 48"" x 24"" - Height Adjustable Sit to Stand Desk for The Home Office - Splice Top Desktop with Stable T-Style Legs (Hazel Wood)","B09BRF3QFK","Vari","$399.99",926,"370,390.74","19,169","$89.06",1,4.9,822,7,14,"Vari.","Home & Kitchen","Medium Oversize","MFN","14.6x50.0x10.6",71.49,"9/10/2021"
"Electric Standing Desk, 48 x 24 inches Whole Piece Deskboard Adjustable Height Desk, Quick Assembly, Ultra-Quiet Motor, Standing Desk Brown Top + Black Frame","B098KYSDYF","TTKK","$189.99","1,267","240,717.33","42,516","$71.40",1,4.5,42,7,26,"Beauty US","Home & Kitchen","Medium Oversize","MFN","29.5x49.6x7.0",77.16,"7/3/2021"
"ZHU CHUANG Height Adjustable Desk Electric Standing Desk Stand up Desk Home Office Desk Dual Motor Natural Color 100% Solid Bamboo (72"" Contour, Desktop and Frame)","B07SXSHC86","ZHU CHUANG","$715.00",16,"11,440.00","744,931","$184.12",1,4.2,107,7,1,"ZHU CHUANG Bamboo Life & Office","Home & Kitchen","Large Oversize","FBA","33.0x73.0x6.0",125.00,"7/16/2019"
"Rolanstar Height Adjustable Desk, 55"" Standing Desk with Drawers and Monitor Shelf, Electric Standing Table with Double Headphone Hooks（Bamboo Color）","B094GB3Z7Q","Rolanstar","$299.99",341,"102,296.59","66,739","$82.96",1,4.2,10,7,4,"RolanstarDirect","Home & Kitchen","Medium Oversize","MFN","17.4x59.5x8.3",81.30,"8/20/2021"
"Flexispot EC1 Electric White Standing Desk Adjustable Height Desk, 48 x 30 Inches Whole Piece Board Sit Stand Desk Home Office Workstation Stand up Desk (White Frame + 48 in White Top)","B07W42DSG8","FLEXISPOT","$239.99","2,932","703,650.68","6,919","$72.28",2,4.7,4620,7,140,"FlexiSpot","Home & Kitchen","Medium Oversize","MFN","33.0x51.0x3.0",90.00,"8/5/2019"
"Rolanstar Height Adjustable Desk 47"", Standing Desk with Keyboard Tray and Monitor Shelf, Electric Standing Table with Double Headphone Hooks, Rustic Brown","B094NNV9HL","Rolanstar","$299.99",151,"45,298.49","12,008","$80.23",1,"n/a","n/a",7,0,"RolanstarDirect","Office Products","Medium Oversize","MFN","17.7x51.5x8.5",74.30,"8/5/2021"
"Electric Standing Desk Adjustable Height Stand Up Desk, Ergonomic Sit Stand Desk for Home Office, 55''(L) x 28''(W) Computer Desk - White","B09C62BL8F","SMUG","$266.17",150,"39,925.50","99,277","$76.06",2,5.0,7,6,4,"Amazon","Home & Kitchen","Medium Oversize","AMZ","16.0x57.0x8.0",73.00,"8/9/2021"
"MAIDeSITe Adjustable Height Electric Standing Desk, Ergonomic Stand Up Desk for Home Office, Sit Stand Desk with 48 x 24 Inch Whole Piece Board, Quick Assembly Adjustable Table, White Frame/Oak Top","B099WSYYWV","MAIDeSITe DeSK","$229.99",870,"200,091.30","66,975","$75.18",1,4.3,225,8,77,"MAIDeSITe DeSK","Home & Kitchen","Medium Oversize","MFN","26.2x49.5x8.5",63.90,"7/20/2021"
"Electric Standing Desk, 52 x 28 Inches Whole Piece Desktop, Quick Assembly, Ultra-Quiet Adjustment, Stand Up Desk Black HOD1A","B098KZ71F6","TTKK","$179.99","1,251","225,167.49","26,911","$72.23",1,4.4,49,7,32,"Beauty US","Home & Kitchen","Medium Oversize","MFN","29.7x53.3x6.9",84.00,"7/3/2021"
"Vari Electric Standing Desk 72"" x 30"" - Dual Motor Sit to Stand Desk - Push Button Memory Settings - Solid Top with Height Adjustable Steel Legs - Work or Home Office Desk - (Black)","B09BFW3CFT","Vari","$795.00","1,438","1,143,210.00","12,260","n/a",1,4.9,1311,7,59,"Vari.","Home & Kitchen","n/a","MFN","n/a","n/a","7/30/2021"
"Flexispot EW8 Electric Standing Desk with Drawers Height Adjustable 48 x 24 Inches White Desktop and Frame Quick Install Home Office Table w/USB Charging Ports, Storage Desk Organizer","B08SBL81LT","FLEXISPOT","$339.99",875,"297,491.25","20,057","$90.47",2,4.6,353,6,16,"FlexiSpot","Home & Kitchen","Medium Oversize","FBA","29.0x49.0x7.0",91.00,"1/7/2021"
"Shintenchi Electric Standing Desk, 63 x 24 Inch Height Adjustable Sit Stand Desk Morder Home Office Stand Up Desk Computer Work Station with Splice Board, (Black Frame + Oak Top)","B091QSCCHC","Shintenchi","$299.99",10,"2,999.90","37,209","$79.45",1,4.5,4,7,-1,"Amazon","Office Products","Medium Oversize","AMZ","14.0x66.0x8.0",73.00,"n/a"
"VIVO Standing 32 inch Desk Converter, Height Adjustable Riser, Sit to Stand Dual Monitor and Laptop Workstation with Wide Keyboard Tray, Black, DESK-V000K","B075JYG2TB","VIVO","$109.99","4,698","516,733.02","1,178","$39.45",6,4.7,7203,9,201,"V I V O","Office Products","Small Oversize","FBA","19.0x34.5x7.5",28.80,"9/11/2017"
