"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) Giftgarden 36 Inch Large Floating Shelves for Wall Set of 3, Rustic Picture Ledge Wall Shelf for Bedroom Kitchen Bathroom Living Room Nursery Display, 3 Different Sizes","B087RG2L6L","Giftgarden","$47.99","4,351","208,804.49","3,012","$18.89",4,4.6,4422,9,270,"GIFT GARDEN","Home & Kitchen","Small Oversize","FBA","6.5x38.0x3.5",8.15,"4/28/2020"
"Floating Wall Shelves Set of 3, Black Metal Wire Hanging Rustic Storage Shelf Decor Organizer for Bedroom Bedside Kitchen Bathroom Living Room","B07VMQ7F47","ZBEIVAN","$23.99",503,"12,066.97","67,481","$9.88",1,4.5,1695,8,20,"Dreamyard","Home & Kitchen","Large Standard-Size","FBA","6.5x16.7x6.0",3.30,"7/26/2019"
"Love-KANKEI Floating Shelves Wall Mounted Set of 2 Rustic Wood Wall Shelves for Bedroom Living Room Bathroom Kitchen Office and More Carbonized Black","B07XDHK395","Love-KANKEI","$16.99","1,698","28,849.02","19,891","$7.50",2,4.3,3143,8,49,"Kankei LLC","Home & Kitchen","Large Standard-Size","FBA","6.9x17.2x2.1",1.63,"n/a"
"Giftgarden 16 Inch Floating Shelves for Wall Set of 3, Rustic Wall Mounted Picture Ledge Wooden Wall Shelf for Living Room Bedroom Kitchen Bathroom, 3 Different Sizes","B087RFGGZS","Giftgarden","$22.99","4,351","100,029.49","3,012","$9.43",10,4.6,4422,9,230,"GIFT GARDEN","Home & Kitchen","Large Standard-Size","FBA","6.9x17.3x3.4",3.66,"4/28/2020"
"Piorlado Black Floating Shelves for Wall, Wall Shelves Set of 3, Wall Mounted Shelves for Bedroom, Hallway, Office, Living Room","B087Q5SLQT","piorlado","$22.99","1,241","28,530.59","15,410","$9.73",1,4.5,1039,8,40,"Joinhub","Home & Kitchen","Large Standard-Size","FBA","6.5x17.7x2.8",4.72,"4/27/2020"
"Tribal Cooking Shelves - Wall Floating Shelves - Decorative Wooden Wall Shelf - Set of 3 Easy to Mount Shelves with Black Brackets for Bedroom, Bathroom, Farmhouse, Rustic or Modern Home Decor","B088D9CBN6","Tribal Cooking","$12.99","1,347","17,497.53","26,424","$7.63",1,4.2,680,9,75,"ARLQS","Home & Kitchen","Large Standard-Size","FBA","4.7x17.4x3.1",2.42,"5/9/2020"
"WOOD CITY Black Floating Shelves for Wall, Invisible Wall Mounted Display Shelf Set of 2, Modern Wood Small Display Shelfs with Matte Finish, Perfect for Bathroom Decoration Office and More","B08GKQ52BB","WOOD CITY","$28.98",233,"6,752.34","177,336","$10.33",4,4.2,251,6,16,"US KIDS TOY","Home & Kitchen","Large Standard-Size","FBA","5.8x16.4x2.4",3.12,"8/24/2020"
"OMYSA Boho Wall Hanging Shelf - Set of 2 Wood Hanging Shelves for Decor, Plants, Book - Farmhouse Rustic Small Shelf for Bedroom Bathroom Living Room - Triangle Window Rope Plant Wooden Shelf - Brown","B07LCZ39XV","OMYSA","$28.99","1,700","49,283.00","8,380","$10.02",1,4.6,3083,7,70,"Omysa","Home & Kitchen","Large Standard-Size","FBA","5.7x17.9x2.3",2.58,"11/28/2018"
"Sorbus Floating Shelf Set — Rustic Wood Hanging Rectangle Wall Shelves — Perfect for Home Décor, Trophy Display, Photo Frames, and More (3-Pack, Grey)","B07PV3H4WQ","Sorbus","$31.99","2,203","70,473.97","3,934","$11.38",1,4.6,3556,5,33,"SELL BELOW COST","Home & Kitchen","Large Standard-Size","FBA","6.6x17.7x5.6",5.73,"n/a"
"BAMEOS Floating Shelf ,Wall Shelf,Decor Wall Mounted Shelves ,Hanging Shelf Set L24xW6 for Bathroom Kitchen Living ,Kitchen,Room Bedroom Storage,Black","B08CVRQ85G","BAMEOS","$32.99","4,678","154,327.22","2,872","$16.50",2,4.4,2617,7,258,"US furniture","Home & Kitchen","Small Oversize","FBA","6.1x24.6x3.3",5.75,"n/a"
