,Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
17,ComHoma Standing Desk Converter Adjustable Height 34 Inch Sit to Stand up Desk Riser for Home Office Ergonomic Tabletop Workstation with Keyboard Mouse Deck,B08KNXLNH4,COMHOMA,125.99,1282.0,161519.18,9930.0,44.89,2,4.6,264.0,6,136.0,Verona Sky,Office Products,Small Oversize,FBA,18.7x37.8x8.5,31.75,11/17/2020
18,"($) ROCKPOINT Axess Computer Desk with Keyboard Tray , White",B07CPQPXGS,ROCKPOINT,142.99,710.0,101522.9,40970.0,63.63,3,4.5,3157.0,8,60.0,Amazon,Home & Kitchen,Medium Oversize,AMZ,22.0x47.0x6.0,79.2,8/22/2018
19,"($) BilBil 55 x 24 Inches Electric Height Adjustable Standing Desk, Smart Home Office Stand Up Desk - Memory Settings - Solid Top - Double-Beam Construction - Anti-Collision Technology",B09BKWX6ZN,bilbil,199.99,171.0,34198.29,169115.0,62.98,1,4.9,12.0,8,8.0,BilBil,Home & Kitchen,Small Oversize,MFN,14.1x45.6x11.0,65.0,7/31/2021
20,"($) Vari Essential Electric Standing Desk 48"" x 24"" - Height Adjustable Sit to Stand Desk for The Home Office - Splice Top Desktop with Stable T-Style Legs (Hazel Wood)",B09BRF3QFK,Vari,399.99,926.0,370390.74,19169.0,89.06,1,4.9,822.0,7,14.0,Vari.,Home & Kitchen,Medium Oversize,MFN,14.6x50.0x10.6,71.49,9/10/2021
21,"Electric Standing Desk, 48 x 24 inches Whole Piece Deskboard Adjustable Height Desk, Quick Assembly, Ultra-Quiet Motor, Standing Desk Brown Top + Black Frame",B098KYSDYF,TTKK,189.99,1267.0,240717.33,42516.0,71.4,1,4.5,42.0,7,26.0,Beauty US,Home & Kitchen,Medium Oversize,MFN,29.5x49.6x7.0,77.16,7/3/2021
22,"ZHU CHUANG Height Adjustable Desk Electric Standing Desk Stand up Desk Home Office Desk Dual Motor Natural Color 100% Solid Bamboo (72"" Contour, Desktop and Frame)",B07SXSHC86,ZHU CHUANG,715.0,16.0,11440.0,744931.0,184.12,1,4.2,107.0,7,1.0,ZHU CHUANG Bamboo Life & Office,Home & Kitchen,Large Oversize,FBA,33.0x73.0x6.0,125.0,7/16/2019
23,"Rolanstar Height Adjustable Desk, 55"" Standing Desk with Drawers and Monitor Shelf, Electric Standing Table with Double Headphone Hooks（Bamboo Color）",B094GB3Z7Q,Rolanstar,299.99,341.0,102296.59,66739.0,82.96,1,4.2,10.0,7,4.0,RolanstarDirect,Home & Kitchen,Medium Oversize,MFN,17.4x59.5x8.3,81.3,8/20/2021
24,"Flexispot EC1 Electric White Standing Desk Adjustable Height Desk, 48 x 30 Inches Whole Piece Board Sit Stand Desk Home Office Workstation Stand up Desk (White Frame + 48 in White Top)",B07W42DSG8,FLEXISPOT,239.99,2932.0,703650.68,6919.0,72.28,2,4.7,4620.0,7,140.0,FlexiSpot,Home & Kitchen,Medium Oversize,MFN,33.0x51.0x3.0,90.0,8/5/2019
25,"Rolanstar Height Adjustable Desk 47"", Standing Desk with Keyboard Tray and Monitor Shelf, Electric Standing Table with Double Headphone Hooks, Rustic Brown",B094NNV9HL,Rolanstar,299.99,151.0,45298.49,12008.0,80.23,1,,,7,0.0,RolanstarDirect,Office Products,Medium Oversize,MFN,17.7x51.5x8.5,74.3,8/5/2021
26,"Electric Standing Desk Adjustable Height Stand Up Desk, Ergonomic Sit Stand Desk for Home Office, 55''(L) x 28''(W) Computer Desk - White",B09C62BL8F,SMUG,266.17,150.0,39925.5,99277.0,76.06,2,5.0,7.0,6,4.0,Amazon,Home & Kitchen,Medium Oversize,AMZ,16.0x57.0x8.0,73.0,8/9/2021
